symbol,ltp,bid_price,ask_price,volume,open,high,low,previous_close,change,change_percent,average_traded_price,ltq,atp,bid_quantity,ask_quantity,total_bid_quantity,total_ask_quantity,liquidity_pass,volume_liquidity_pass,depth_ltp,depth_volume,depth_atp,spread_percent,depth_available,spread_pass
NSE:APTUS-EQ,254.75,0.0,254.75,1675606,258.0,258.15,253.05,256.7,-1.95,-0.76,254.94,500.0,254.94,0.0,3125.0,0.0,3125.0,False,True,,,,,,
NSE:ARDEE-EQ,67.12,67.12,0.0,130275850,72.0,73.19,65.8,0.0,0.0,0.0,69.26,10.0,69.26,74369.0,0.0,74369.0,0.0,False,True,,,,,,
NSE:ARFIN-EQ,84.74,0.0,0.0,1216860,84.15,85.56,83.91,85.08,-0.34,-0.4,84.5,88.0,84.5,0.0,0.0,0.0,0.0,False,True,,,,,,
NSE:ARIS-EQ,135.55,0.0,135.55,1436154,133.76,137.9,133.5,133.76,1.79,1.34,136.2,50.0,136.2,0.0,1336.0,0.0,1336.0,False,True,,,,,,
NSE:ASHOKA-EQ,113.9,113.9,0.0,1312834,116.45,116.5,113.0,116.99,-3.09,-2.64,113.99,518.0,113.99,782.0,0.0,782.0,0.0,False,True,,,,,,
NSE:ASHOKLEY-EQ,176.7,0.0,176.7,10612472,174.83,177.38,174.43,174.83,1.87,1.07,175.36,600.0,175.36,0.0,9996.0,0.0,9996.0,False,True,,,,,,
NSE:ASIANTILES-EQ,53.12,53.12,0.0,8536751,53.7,55.49,52.53,52.85,0.27,0.51,53.75,1.0,53.75,3200.0,0.0,3200.0,0.0,False,True,,,,,,
NSE:ATALREAL-EQ,35.34,35.34,0.0,13344621,35.09,35.82,34.9,35.02,0.32,0.91,35.2,300.0,35.2,1916.0,0.0,1916.0,0.0,False,True,,,,,,
NSE:AWL-EQ,194.24,194.24,0.0,1431527,192.86,195.0,191.3,192.86,1.38,0.72,193.44,2000.0,193.44,508.0,0.0,508.0,0.0,False,True,,,,,,
NSE:BAJAJHFL-EQ,84.76,0.0,84.76,1812989,85.6,85.62,84.62,85.18,-0.42,-0.49,84.86,358.0,84.86,0.0,44.0,0.0,44.0,False,True,,,,,,
NSE:BALUFORGE-EQ,463.0,463.0,0.0,1012793,462.0,471.0,455.0,459.0,4.0,0.87,463.79,5.0,463.79,667.0,0.0,667.0,0.0,False,True,,,,,,
NSE:BANDHANBNK-EQ,176.0,176.0,0.0,7049218,173.82,176.79,172.57,174.0,2.0,1.15,175.47,500.0,175.47,5963.0,0.0,5963.0,0.0,False,True,,,,,,
NSE:BANKBARODA-EQ,251.0,0.0,251.0,8298917,246.0,251.4,245.5,246.2,4.8,1.95,249.79,422.0,249.79,0.0,7573.0,0.0,7573.0,False,True,,,,,,
NSE:BANKINDIA-EQ,145.5,0.0,145.5,8946785,142.4,146.12,141.9,142.9,2.6,1.82,144.88,20.0,144.88,0.0,180.0,0.0,180.0,False,True,,,,,,
NSE:BECTORFOOD-EQ,242.35,0.0,242.35,2242467,241.0,243.39,233.52,240.62,1.73,0.72,238.76,205.0,238.76,0.0,1152.0,0.0,1152.0,False,True,,,,,,
NSE:BEL-EQ,405.7,405.7,0.0,13125672,406.0,406.25,399.3,405.85,-0.15,-0.04,402.61,30.0,402.61,1353.0,0.0,1353.0,0.0,False,True,,,,,,
NSE:BELRISE-EQ,261.35,261.35,0.0,9422315,255.0,268.2,253.61,253.97,7.38,2.91,261.53,368.0,261.53,11998.0,0.0,11998.0,0.0,False,True,,,,,,
NSE:BHARATCOAL-EQ,33.78,33.78,0.0,3368883,33.84,34.14,33.68,33.86,-0.08,-0.24,33.84,543.0,33.84,16198.0,0.0,16198.0,0.0,False,True,,,,,,
NSE:BHEL-EQ,420.0,420.0,0.0,14607097,404.5,420.2,403.25,403.0,17.0,4.22,412.89,30.0,412.89,200.0,0.0,200.0,0.0,False,True,,,,,,
NSE:BIOCON-EQ,427.4,427.4,0.0,3793310,427.75,430.5,422.6,426.0,1.4,0.33,427.78,16.0,427.78,263.0,0.0,263.0,0.0,False,True,,,,,,
NSE:BLKASHYAP-EQ,52.61,0.0,52.61,1038405,54.2,55.0,51.15,53.99,-1.38,-2.56,53.02,50.0,53.02,0.0,50.0,0.0,50.0,False,True,,,,,,
NSE:BLS-EQ,262.88,262.88,0.0,1254241,261.64,264.5,259.51,260.86,2.02,0.77,262.6,25.0,262.6,2212.0,0.0,2212.0,0.0,False,True,,,,,,
NSE:BPCL-EQ,317.0,0.0,317.0,6726295,317.0,318.5,311.5,317.8,-0.8,-0.25,313.92,200.0,313.92,0.0,3574.0,0.0,3574.0,False,True,,,,,,
NSE:BSLGOLDETF-EQ,134.53,0.0,0.0,2790558,136.88,136.88,133.82,133.55,0.98,0.73,134.31,91.0,134.31,0.0,0.0,0.0,0.0,False,True,,,,,,
NSE:BSOFT-EQ,313.3,0.0,313.3,1103074,320.9,321.9,312.15,320.3,-7.0,-2.19,315.33,2.0,315.33,0.0,39.0,0.0,39.0,False,True,,,,,,
NSE:CAMLINFINE-EQ,107.94,0.0,107.94,6115766,119.0,119.84,107.0,125.5,-17.56,-13.99,111.69,100.0,111.69,0.0,372.0,0.0,372.0,False,True,,,,,,
NSE:CANBK-EQ,132.0,0.0,132.0,26542679,130.0,133.11,129.6,130.3,1.7,1.3,131.88,150.0,131.88,0.0,2832.0,0.0,2832.0,False,True,,,,,,
NSE:CASTROLIND-EQ,188.38,188.38,0.0,5108944,186.5,190.45,186.11,186.82,1.56,0.84,188.38,5.0,188.38,3876.0,0.0,3876.0,0.0,False,True,,,,,,
NSE:CENTRALBK-EQ,31.28,31.28,0.0,8874627,31.23,31.66,31.0,31.19,0.09,0.29,31.35,305.0,31.35,15020.0,0.0,15020.0,0.0,False,True,,,,,,
NSE:CGCL-EQ,228.75,228.75,0.0,2592162,235.85,237.7,226.18,235.46,-6.71,-2.85,229.96,21.0,229.96,347.0,0.0,347.0,0.0,False,True,,,,,,
NSE:CMPDI-EQ,246.0,246.0,0.0,1018220,251.9,253.8,244.0,250.09,-4.09,-1.64,246.6,12.0,246.6,16.0,0.0,16.0,0.0,False,True,,,,,,
NSE:CMSINFO-EQ,255.6,0.0,255.6,1333828,263.05,264.45,253.4,266.1,-10.5,-3.95,255.73,10.0,255.73,0.0,182.0,0.0,182.0,False,True,,,,,,
NSE:COALINDIA-EQ,409.3,0.0,409.3,4089147,412.6,413.7,408.2,412.6,-3.3,-0.8,409.91,4.0,409.91,0.0,4409.0,0.0,4409.0,False,True,,,,,,
NSE:CONFIPET-EQ,73.82,0.0,73.82,4555642,78.71,78.91,72.51,78.42,-4.6,-5.87,74.8,100.0,74.8,0.0,13419.0,0.0,13419.0,False,True,,,,,,
NSE:CPSEETF-EQ,93.86,93.86,0.0,1031400,93.84,94.98,93.21,93.84,0.02,0.02,93.6,1.0,93.6,9603.0,0.0,9603.0,0.0,False,True,,,,,,
NSE:CROMPTON-EQ,247.85,247.85,0.0,1952319,246.0,248.35,241.55,245.4,2.45,1.0,244.71,1.0,244.71,679.0,0.0,679.0,0.0,False,True,,,,,,
NSE:CUB-EQ,215.85,0.0,215.85,1867608,214.0,218.6,212.38,213.69,2.16,1.01,216.65,10.0,216.65,0.0,1768.0,0.0,1768.0,False,True,,,,,,
NSE:CUPID-EQ,289.87,289.87,0.0,48203967,281.0,290.0,279.42,276.65,13.22,4.78,287.29,70.0,287.29,4600.0,0.0,4600.0,0.0,False,True,,,,,,
NSE:DABUR-EQ,411.25,0.0,411.25,1677000,412.65,413.1,405.05,412.65,-1.4,-0.34,407.56,59.0,407.56,0.0,5213.0,0.0,5213.0,False,True,,,,,,
NSE:DECNGOLD-EQ,220.35,0.0,220.35,3120188,223.09,229.0,218.6,221.31,-0.96,-0.43,224.12,125.0,224.12,0.0,15641.0,0.0,15641.0,False,True,,,,,,
NSE:DELHIVERY-EQ,470.25,0.0,470.25,6123936,475.3,475.3,466.8,473.45,-3.2,-0.68,468.4,2.0,468.4,0.0,4154.0,0.0,4154.0,False,True,,,,,,
NSE:DELTACORP-EQ,60.71,0.0,60.71,2262213,64.0,64.01,60.39,63.27,-2.56,-4.05,61.46,100.0,61.46,0.0,7896.0,0.0,7896.0,False,True,,,,,,
NSE:DEVYANI-EQ,140.21,0.0,140.21,5819096,142.1,142.1,137.0,142.79,-2.58,-1.81,139.66,6.0,139.66,0.0,20494.0,0.0,20494.0,False,True,,,,,,
NSE:DYCL-EQ,454.0,0.0,454.0,1716733,445.95,464.95,440.0,441.2,12.8,2.9,455.09,25.0,455.09,0.0,17.0,0.0,17.0,False,True,,,,,,
NSE:EDELWEISS-EQ,118.9,0.0,118.9,1403486,119.37,120.3,117.41,119.08,-0.18,-0.15,118.55,100.0,118.55,0.0,946.0,0.0,946.0,False,True,,,,,,
NSE:EIEL-EQ,203.13,203.13,0.0,2468285,212.0,212.89,200.84,213.97,-10.84,-5.07,203.9,1.0,203.9,262.0,0.0,262.0,0.0,False,True,,,,,,
NSE:ELECTCAST-EQ,73.56,73.56,0.0,1539684,73.6,74.3,71.92,73.56,0.0,0.0,73.16,126.0,73.16,2374.0,0.0,2374.0,0.0,False,True,,,,,,
NSE:ELLEN-EQ,323.8,323.8,0.0,3412223,295.0,323.8,286.7,294.4,29.4,9.99,317.4,100.0,317.4,62944.0,0.0,62944.0,0.0,False,True,,,,,,
NSE:EMBDL-EQ,61.96,61.96,0.0,3861184,65.0,65.1,61.45,64.72,-2.76,-4.26,62.66,100.0,62.66,388.0,0.0,388.0,0.0,False,True,,,,,,
NSE:EMIL-EQ,193.61,0.0,193.61,31604982,185.02,195.0,183.01,184.75,8.86,4.8,190.33,2.0,190.33,0.0,11573.0,0.0,11573.0,False,True,,,,,,
NSE:ENGINERSIN-EQ,239.2,239.2,0.0,1264836,243.35,246.8,238.0,242.99,-3.79,-1.56,241.61,100.0,241.61,746.0,0.0,746.0,0.0,False,True,,,,,,
NSE:EPACK-EQ,212.22,0.0,0.0,1222863,225.0,226.0,209.76,227.27,-15.05,-6.62,216.82,78.0,216.82,0.0,0.0,0.0,0.0,False,True,,,,,,
NSE:EPL-EQ,243.64,0.0,243.64,15355500,244.27,259.83,236.29,235.78,7.86,3.33,248.61,30.0,248.61,0.0,10066.0,0.0,10066.0,False,True,,,,,,
NSE:EQUITASBNK-EQ,74.57,0.0,74.57,1185790,74.6,74.78,73.5,74.78,-0.21,-0.28,74.26,29.0,74.26,0.0,1272.0,0.0,1272.0,False,True,,,,,,
NSE:ETERNAL-EQ,314.05,314.05,0.0,19976751,318.95,318.95,312.6,318.0,-3.95,-1.24,314.85,8.0,314.85,2687.0,0.0,2687.0,0.0,False,True,,,,,,
NSE:EXIDEIND-EQ,490.65,490.65,0.0,4593999,485.0,495.25,482.35,483.35,7.3,1.51,488.3,6.0,488.3,275.0,0.0,275.0,0.0,False,True,,,,,,
NSE:FCL-EQ,42.65,42.65,0.0,20028758,43.0,44.95,41.7,42.99,-0.34,-0.79,43.53,9345.0,43.53,32177.0,0.0,32177.0,0.0,False,True,,,,,,
NSE:FEDERALBNK-EQ,356.85,356.85,0.0,3369817,354.55,357.65,353.8,354.55,2.3,0.65,355.46,1.0,355.46,39.0,0.0,39.0,0.0,False,True,,,,,,
NSE:FILATEX-EQ,83.31,0.0,83.31,2332120,82.6,84.0,80.81,83.12,0.19,0.23,82.4,14.0,82.4,0.0,306.0,0.0,306.0,False,True,,,,,,
NSE:FMCGIETF-EQ,52.04,52.04,0.0,2412908,53.44,53.44,51.9,52.56,-0.52,-0.99,52.05,35.0,52.05,60.0,0.0,60.0,0.0,False,True,,,,,,
NSE:FSL-EQ,274.5,0.0,274.5,1861664,280.65,280.65,272.25,279.6,-5.1,-1.82,274.66,1.0,274.66,0.0,855.0,0.0,855.0,False,True,,,,,,
NSE:FUSION-EQ,203.78,203.78,0.0,1242445,213.17,215.53,200.1,212.11,-8.33,-3.93,204.37,18.0,204.37,481.0,0.0,481.0,0.0,False,True,,,,,,
NSE:GAIL-EQ,177.95,0.0,177.95,8976408,175.34,177.95,173.3,175.34,2.61,1.49,174.58,1.0,174.58,0.0,109720.0,0.0,109720.0,False,True,,,,,,
NSE:GARUDA-EQ,183.49,183.49,0.0,1066354,191.05,193.48,182.2,190.67,-7.18,-3.77,186.41,1.0,186.41,80.0,0.0,80.0,0.0,False,True,,,,,,
NSE:GATEWAY-EQ,54.9,54.9,0.0,1657544,56.1,56.38,54.77,56.3,-1.4,-2.49,55.09,200.0,55.09,1690.0,0.0,1690.0,0.0,False,True,,,,,,
NSE:GENUSPOWER-EQ,304.95,0.0,304.95,1569937,306.1,312.8,301.1,305.55,-0.6,-0.2,305.75,5.0,305.75,0.0,182.0,0.0,182.0,False,True,,,,,,
NSE:GIPCL-EQ,174.05,0.0,174.05,8115461,172.0,181.4,170.78,164.64,9.41,5.72,177.43,430.0,177.43,0.0,301.0,0.0,301.0,False,True,,,,,,
NSE:GMRAIRPORT-EQ,104.55,0.0,104.55,18618816,105.11,106.29,102.15,105.11,-0.56,-0.53,103.45,700.0,103.45,0.0,1548.0,0.0,1548.0,False,True,,,,,,
NSE:GOLD1-EQ,127.73,0.0,127.73,1649436,130.02,130.02,127.01,126.85,0.88,0.69,127.39,1.0,127.39,0.0,7.0,0.0,7.0,False,True,,,,,,
